,year_to_date_return,years_up,years_down,fund_symbol,fund_return_2021_q2,fund_return_2021_q1,fund_return_2020_q4,fund_return_2020_q3,fund_return_2020_q2,category_return_2020,fund_return_2020
1885,0.185,4.0,5.0,BICSX,0.1006,0.07881,0.12876,0.06086,0.16429,-0.03086,0.06805
1901,0.1227,5.0,4.0,BIFRX,0.04748,0.08882,0.18722,0.07752,0.26636,0.09303,0.21155
1917,0.0091,11.0,2.0,BILPX,0.01889,0.00701,0.03738,0.02053,0.05761,0.06689,0.06305
1920,-0.0002,18.0,2.0,BIMIX,0.01007,-0.01826,0.00809,0.00946,0.04401,0.07522,0.07415
1922,-0.0024,18.0,2.0,BIMSX,0.00981,-0.01962,0.00787,0.0084,0.04392,0.07522,0.07155
1932,0.1888,4.0,1.0,BIRAX,0.08587,0.06868,0.14789,0.07958,0.2371,0.15827,0.2211
1933,0.1838,4.0,1.0,BIRCX,0.08357,0.06639,0.14675,0.0773,0.2354,0.15827,0.21281
1934,0.2041,3.0,2.0,BIRDX,0.09288,0.06079,0.13174,0.02284,0.10612,-0.05428,-0.08274
1935,0.2903,6.0,2.0,BIREX,0.12502,0.09798,0.10917,0.01544,0.11962,-0.04488,-0.04186
1936,0.1907,4.0,1.0,BIRIX,0.08605,0.06962,0.14852,0.08005,0.23801,0.15827,0.22408
1937,0.1907,3.0,1.0,BIRKX,0.08655,0.06958,0.14873,0.08022,0.23888,0.15827,0.22452
1941,0.0944,15.0,8.0,BISIX,0.05955,0.03129,0.09168,0.05882,0.14185,0.09303,0.09108
1947,0.1705,4.0,1.0,BITSX,0.08243,0.06337,0.14696,0.09237,0.21839,0.15827,0.20732
1952,-0.0022,23.0,5.0,BJBGX,0.01847,-0.03149,0.01452,0.01462,0.06146,0.07522,0.10525
1953,0.0308,14.0,4.0,BJBHX,0.02398,0.00836,0.06788,0.03738,0.12444,0.04905,0.05319
1971,0.205,3.0,2.0,BKRDX,0.09241,0.06091,0.1322,0.02184,0.10646,-0.05428,-0.08247
1972,0.1708,4.0,1.0,BKTSX,0.08256,0.06337,0.14722,0.09174,0.21939,0.15827,0.20789
1991,0.09,6.0,2.0,BLPCX,0.04895,0.03074,0.09202,0.04829,0.12658,0.11719,0.12306
1992,0.0964,2.0,1.0,BLPDX,0.0513,0.03395,0.09533,0.0508,0.12935,0.11719,0.13497
1993,0.0958,7.0,1.0,BLPEX,0.05099,0.03372,0.0949,0.05048,0.12886,0.11719,0.13363
